epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8226,0.78366,2.46025,1.1799,0.34855,0.37403,0.41066,0.35462,0.51482,2.29486,0.90982,0.00041441,0.00041441,0.00041441
2,99.522,0.75029,1.74782,1.15633,0.56866,0.70665,0.65899,0.54084,0.62773,2.2049,1.02533,0.000834763,0.000834763,0.000834763
3,136.446,0.75325,1.40205,1.14499,0.63428,0.81446,0.81368,0.57177,0.85822,3.15694,1.23701,0.00124663,0.00124663,0.00124663
4,171.745,0.76382,1.24389,1.12152,0.65418,0.47721,0.59091,0.36941,0.8204,5.85026,1.1711,0.00138656,0.00138656,0.00138656
5,206.434,0.77152,1.19316,1.11874,0.7104,0.81341,0.81218,0.51829,0.9858,2.03973,1.24559,0.00137241,0.00137241,0.00137241
6,248.036,0.75465,1.14323,1.10902,0.84225,0.77424,0.88544,0.6405,0.83587,1.26348,1.14627,0.00135826,0.00135826,0.00135826
7,278.06,0.68037,1.02419,1.07624,0.76162,0.83082,0.88758,0.74513,0.57299,1.09852,0.90471,0.00134412,0.00134412,0.00134412
8,308.656,0.67473,0.93882,1.07466,0.66812,0.79769,0.78689,0.60089,0.68898,1.31405,0.95659,0.00132997,0.00132997,0.00132997
9,348.432,0.70536,0.92802,1.07522,0.86149,0.75231,0.81776,0.70536,0.57931,1.19121,0.90723,0.00131582,0.00131582,0.00131582
10,382.477,0.64299,0.91154,1.03678,0.53637,0.64358,0.61392,0.52006,0.67606,1.54622,0.99186,0.00130168,0.00130168,0.00130168
11,416.409,0.6229,0.82335,1.04091,0.91043,0.94151,0.95495,0.84808,0.49236,0.89016,0.84853,0.00128753,0.00128753,0.00128753
12,447.725,0.58966,0.71711,1.03142,0.91942,0.9241,0.95763,0.86229,0.46696,0.71896,0.83209,0.00127338,0.00127338,0.00127338
13,478.724,0.62253,0.78419,1.04305,0.9178,0.95968,0.97844,0.84593,0.56631,0.65732,0.8956,0.00125923,0.00125923,0.00125923
14,506.829,0.59609,0.72359,1.01656,0.94299,0.93726,0.96979,0.85792,0.48979,0.7018,0.83515,0.00124509,0.00124509,0.00124509
15,535.735,0.57753,0.73657,1.01903,0.95809,0.92357,0.97465,0.87851,0.48965,0.72406,0.84149,0.00123094,0.00123094,0.00123094
16,562.576,0.57167,0.69892,1.0173,0.95784,0.94358,0.97216,0.8707,0.47767,0.62518,0.84127,0.00121679,0.00121679,0.00121679
17,590.331,0.56051,0.75144,1.0239,0.82059,0.87563,0.89031,0.71868,0.61359,1.03714,0.9597,0.00120265,0.00120265,0.00120265
18,632.381,0.58268,0.73049,1.02094,0.74729,0.25837,0.30001,0.25669,0.58414,1.91113,0.91842,0.0011885,0.0011885,0.0011885
19,680.759,0.56939,0.66965,1.01677,0.95607,0.63296,0.65325,0.58628,0.46599,0.54503,0.84543,0.00117435,0.00117435,0.00117435
20,724.445,0.53118,0.63842,1.01781,0.95871,0.89274,0.90957,0.81395,0.44495,0.51192,0.83829,0.00116021,0.00116021,0.00116021
21,765.621,0.55641,0.6145,1.0124,0.92869,0.93876,0.97147,0.8641,0.48682,0.64134,0.85307,0.00114606,0.00114606,0.00114606
22,797.643,0.52046,0.60293,0.99463,0.92174,0.93828,0.97808,0.89085,0.44744,0.52878,0.86157,0.00113191,0.00113191,0.00113191
23,842.887,0.51124,0.55637,0.99214,0.96225,0.8313,0.89325,0.79979,0.48092,0.51747,0.85668,0.00111776,0.00111776,0.00111776
24,872.954,0.55785,0.64287,1.00667,0.96977,0.94085,0.97307,0.86476,0.44617,0.49654,0.83113,0.00110362,0.00110362,0.00110362
25,901.588,0.53606,0.62195,1.00961,0.92375,0.95374,0.97237,0.89017,0.43943,0.52358,0.82471,0.00108947,0.00108947,0.00108947
26,938.115,0.5203,0.54606,1.00855,0.97716,0.95152,0.9815,0.88279,0.45825,0.48135,0.82653,0.00107532,0.00107532,0.00107532
27,966.664,0.51697,0.54651,0.99738,0.96746,0.95949,0.98478,0.90564,0.40025,0.45188,0.80401,0.00106118,0.00106118,0.00106118
28,997.884,0.49053,0.53062,0.98907,0.91777,0.9571,0.97875,0.91578,0.37555,0.50719,0.78424,0.00104703,0.00104703,0.00104703
29,1019.78,0.47416,0.55282,0.97972,0.97142,0.96251,0.98066,0.89756,0.42271,0.45115,0.81823,0.00103288,0.00103288,0.00103288
30,1049.99,0.48591,0.57924,0.98163,0.96673,0.91746,0.97702,0.89991,0.42927,0.48833,0.81892,0.00101873,0.00101873,0.00101873
31,1082.94,0.48991,0.52135,0.99881,0.95152,0.89948,0.95014,0.87228,0.39674,0.49843,0.79834,0.00100459,0.00100459,0.00100459
32,1108.28,0.49748,0.55904,0.99208,0.95662,0.96512,0.98095,0.93685,0.33533,0.42881,0.77497,0.00099044,0.00099044,0.00099044
33,1135.34,0.50364,0.55624,0.97865,0.98917,0.95703,0.98784,0.93223,0.34247,0.36866,0.76092,0.000976293,0.000976293,0.000976293
34,1158.86,0.47897,0.51438,0.98144,0.97847,0.95349,0.98698,0.90361,0.4294,0.45062,0.83632,0.000962146,0.000962146,0.000962146
35,1196.19,0.46253,0.49909,0.97693,0.98454,0.86088,0.90317,0.84724,0.38155,0.38862,0.79166,0.000947999,0.000947999,0.000947999
36,1219.27,0.46797,0.49526,0.99174,0.95954,0.94429,0.97807,0.81435,0.55093,0.54271,0.93645,0.000933851,0.000933851,0.000933851
37,1244.92,0.4794,0.53351,0.97323,0.98255,0.95726,0.98628,0.90571,0.3701,0.40808,0.78152,0.000919704,0.000919704,0.000919704
38,1270.47,0.46336,0.50209,0.98717,0.97354,0.94944,0.98154,0.91249,0.36845,0.3894,0.78266,0.000905557,0.000905557,0.000905557
39,1294.62,0.45669,0.49898,0.97126,0.938,0.91782,0.98157,0.93727,0.33794,0.47211,0.76578,0.00089141,0.00089141,0.00089141
40,1320.12,0.45392,0.50717,0.97441,0.87097,0.9061,0.94925,0.87158,0.38967,0.64074,0.78119,0.000877263,0.000877263,0.000877263
41,1350.72,0.49391,0.47474,0.97095,0.98278,0.96627,0.97869,0.90752,0.40513,0.40124,0.77928,0.000863116,0.000863116,0.000863116
42,1376.75,0.4761,0.52942,0.97929,0.97916,0.95819,0.98783,0.92522,0.37054,0.37407,0.76977,0.000848969,0.000848969,0.000848969
43,1404.51,0.43867,0.47243,0.96961,0.96235,0.96302,0.97991,0.89986,0.374,0.38442,0.78687,0.000834822,0.000834822,0.000834822
44,1428.4,0.4523,0.49591,0.97084,0.99237,0.96255,0.98963,0.92044,0.35187,0.33882,0.77886,0.000820675,0.000820675,0.000820675
45,1452.69,0.4268,0.4581,0.9617,0.98389,0.94502,0.98642,0.93939,0.34985,0.35925,0.76172,0.000806528,0.000806528,0.000806528
46,1478.86,0.45732,0.44112,0.96941,0.95353,0.96359,0.97235,0.93006,0.33668,0.3529,0.76433,0.00079238,0.00079238,0.00079238
47,1502.96,0.41005,0.4309,0.96366,0.96724,0.95798,0.98577,0.943,0.31846,0.33878,0.75531,0.000778233,0.000778233,0.000778233
48,1529.02,0.42251,0.46644,0.96018,0.98829,0.96916,0.9872,0.93221,0.31662,0.3597,0.75831,0.000764086,0.000764086,0.000764086
49,1554.12,0.42582,0.40832,0.96618,0.97058,0.9744,0.98504,0.93823,0.32758,0.31864,0.76423,0.000749939,0.000749939,0.000749939
50,1582.93,0.42596,0.41672,0.95173,0.97834,0.97307,0.98915,0.94263,0.31602,0.30049,0.75748,0.000735792,0.000735792,0.000735792
51,1611.93,0.4317,0.4021,0.951,0.9704,0.97939,0.9866,0.94013,0.31072,0.3109,0.75047,0.000721645,0.000721645,0.000721645
52,1636.86,0.41523,0.40051,0.96419,0.98091,0.96916,0.98783,0.92827,0.34099,0.329,0.7746,0.000707498,0.000707498,0.000707498
53,1661.39,0.42572,0.39853,0.95459,0.98884,0.96352,0.98759,0.94503,0.3105,0.32661,0.75022,0.000693351,0.000693351,0.000693351
54,1684.99,0.42418,0.41077,0.95709,0.98763,0.94893,0.98675,0.95132,0.29294,0.32133,0.73348,0.000679204,0.000679204,0.000679204
55,1708.78,0.44269,0.40245,0.96466,0.98336,0.95548,0.98407,0.93788,0.29517,0.31742,0.74105,0.000665057,0.000665057,0.000665057
56,1734.77,0.41115,0.41855,0.95338,0.97335,0.95746,0.98834,0.94294,0.31623,0.31588,0.75128,0.000650909,0.000650909,0.000650909
57,1758.95,0.41132,0.37672,0.95003,0.98631,0.95577,0.99116,0.9496,0.31492,0.29925,0.74566,0.000636762,0.000636762,0.000636762
58,1782.42,0.40064,0.3866,0.94567,0.96546,0.96269,0.98577,0.93931,0.31953,0.33698,0.76456,0.000622615,0.000622615,0.000622615
59,1807.99,0.41889,0.38894,0.95113,0.9862,0.96182,0.98566,0.94601,0.30233,0.31009,0.74987,0.000608468,0.000608468,0.000608468
60,1834.6,0.40759,0.41885,0.96178,0.98516,0.97069,0.98759,0.945,0.29933,0.28841,0.74232,0.000594321,0.000594321,0.000594321
61,1858.38,0.39366,0.37431,0.95538,0.98418,0.95649,0.98931,0.95602,0.29212,0.29979,0.73645,0.000580174,0.000580174,0.000580174
62,1883.52,0.40087,0.38961,0.95221,0.99085,0.96352,0.99079,0.94138,0.33892,0.31074,0.77331,0.000566027,0.000566027,0.000566027
63,1905.97,0.39268,0.3945,0.95736,0.98552,0.96043,0.9889,0.94477,0.30943,0.30606,0.74787,0.00055188,0.00055188,0.00055188
64,1927.72,0.38711,0.36651,0.94852,0.98683,0.95666,0.98577,0.94913,0.31927,0.29221,0.74333,0.000537733,0.000537733,0.000537733
65,1949.23,0.37389,0.36581,0.94568,0.97762,0.9678,0.98664,0.94101,0.30485,0.2881,0.7491,0.000523586,0.000523586,0.000523586
66,1972.77,0.41118,0.37533,0.95465,0.95947,0.96874,0.98732,0.94639,0.31588,0.31957,0.75174,0.000509438,0.000509438,0.000509438
67,1996.83,0.40412,0.4042,0.94865,0.98778,0.9537,0.98972,0.95088,0.28776,0.28279,0.73874,0.000495291,0.000495291,0.000495291
68,2020.56,0.36875,0.3471,0.95066,0.95463,0.95746,0.98253,0.94539,0.28499,0.30331,0.74066,0.000481144,0.000481144,0.000481144
