epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,291.268,0.70678,0.82572,1.16221,0.66513,0.45346,0.42849,0.33289,0.87275,1.31518,1.34864,0.000848969,0.000848969,0.000848969
43,297.324,0.6359,0.74873,1.11896,0.75333,0.45022,0.40715,0.30316,0.92058,1.34891,1.41165,0.000834822,0.000834822,0.000834822
44,304.751,0.62627,0.7722,1.12333,0.76771,0.47572,0.47867,0.37342,0.84926,1.20296,1.32537,0.000820675,0.000820675,0.000820675
45,310.887,0.65647,0.80285,1.12708,0.75306,0.44396,0.4591,0.35777,0.82338,1.22704,1.29323,0.000806528,0.000806528,0.000806528
46,318.331,0.71688,0.79882,1.10702,0.73977,0.42448,0.45903,0.36233,0.80575,1.33942,1.27034,0.00079238,0.00079238,0.00079238
47,324.357,0.64978,0.77632,1.10189,0.68857,0.46141,0.46439,0.35299,0.86427,1.28146,1.33901,0.000778233,0.000778233,0.000778233
48,331.718,0.62655,0.69584,1.09911,0.81377,0.44474,0.4814,0.3605,0.91399,1.23755,1.38237,0.000764086,0.000764086,0.000764086
49,337.783,0.62911,0.70574,1.13019,0.75249,0.47065,0.46797,0.36866,0.77979,1.16465,1.25379,0.000749939,0.000749939,0.000749939
50,345.146,0.61559,0.70896,1.1098,0.72613,0.47907,0.46709,0.36629,0.81898,1.14101,1.27715,0.000735792,0.000735792,0.000735792
51,351.137,0.63019,0.72814,1.11833,0.76442,0.45822,0.46217,0.35304,0.86046,1.20818,1.32311,0.000721645,0.000721645,0.000721645
52,358.571,0.66473,0.75158,1.08222,0.6724,0.4728,0.43058,0.33326,0.81579,1.22793,1.29026,0.000707498,0.000707498,0.000707498
53,364.614,0.6085,0.70126,1.08649,0.74339,0.464,0.45755,0.35941,0.81407,1.16376,1.26654,0.000693351,0.000693351,0.000693351
