epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,433.52,0.58283,0.6966,1.07317,0.90379,0.58596,0.62592,0.51462,0.72321,0.89396,1.14362,0.000848969,0.000848969,0.000848969
43,444.233,0.59766,0.70874,1.11312,0.89802,0.53095,0.601,0.47937,0.75944,1.08589,1.19334,0.000834822,0.000834822,0.000834822
44,454.677,0.61438,0.68752,1.10024,0.82713,0.55384,0.61267,0.49989,0.7773,0.92302,1.21504,0.000820675,0.000820675,0.000820675
45,464.126,0.61066,0.70927,1.10227,0.8784,0.53824,0.60057,0.49623,0.76138,0.99766,1.19022,0.000806528,0.000806528,0.000806528
46,473.843,0.60834,0.71289,1.08357,0.83858,0.60993,0.64582,0.53009,0.70571,0.85153,1.12577,0.00079238,0.00079238,0.00079238
47,484.697,0.5505,0.63655,1.06586,0.87478,0.59589,0.63823,0.53403,0.6542,0.88442,1.08153,0.000778233,0.000778233,0.000778233
48,494.998,0.56953,0.64882,1.09171,0.77063,0.59376,0.62656,0.51276,0.70542,0.98386,1.15734,0.000764086,0.000764086,0.000764086
49,504.157,0.55638,0.63655,1.07477,0.76131,0.58063,0.6308,0.5429,0.6388,0.90668,1.06311,0.000749939,0.000749939,0.000749939
50,514.575,0.5701,0.65429,1.07952,0.84657,0.56218,0.6169,0.52686,0.64115,0.98255,1.0882,0.000735792,0.000735792,0.000735792
51,524.691,0.56095,0.63325,1.08084,0.81787,0.63087,0.65016,0.5363,0.68575,0.86223,1.11237,0.000721645,0.000721645,0.000721645
52,534.888,0.57124,0.65126,1.08128,0.84674,0.5471,0.63172,0.51158,0.72572,0.92936,1.14604,0.000707498,0.000707498,0.000707498
53,544.639,0.53533,0.59207,1.04941,0.84728,0.58309,0.63787,0.52002,0.70609,0.92474,1.12417,0.000693351,0.000693351,0.000693351
54,554.566,0.52722,0.57732,1.06516,0.8176,0.62466,0.67048,0.54406,0.73057,0.89214,1.18942,0.000679204,0.000679204,0.000679204
55,564.873,0.52688,0.59857,1.06349,0.8118,0.59616,0.65076,0.52812,0.75498,0.91864,1.18199,0.000665057,0.000665057,0.000665057
56,575.259,0.53235,0.58606,1.06323,0.86198,0.56426,0.64046,0.53186,0.67224,0.87178,1.12158,0.000650909,0.000650909,0.000650909
57,584.471,0.51923,0.57116,1.05642,0.85526,0.56697,0.62965,0.53811,0.6725,0.97854,1.09957,0.000636762,0.000636762,0.000636762
58,594.508,0.56018,0.58784,1.07335,0.85184,0.55041,0.621,0.52869,0.66547,1.01633,1.07139,0.000622615,0.000622615,0.000622615
59,604.58,0.49281,0.54569,1.04789,0.82286,0.605,0.65806,0.54715,0.66944,0.82608,1.09838,0.000608468,0.000608468,0.000608468
60,614.986,0.53093,0.57664,1.05007,0.8205,0.62036,0.68007,0.56435,0.64407,0.75456,1.06395,0.000594321,0.000594321,0.000594321
61,624.719,0.53337,0.58761,1.05701,0.90416,0.58432,0.66212,0.55872,0.65277,0.793,1.07635,0.000580174,0.000580174,0.000580174
62,634.755,0.5035,0.55606,1.05721,0.82511,0.60396,0.6565,0.55087,0.61328,0.85309,1.01464,0.000566027,0.000566027,0.000566027
63,644.939,0.47003,0.50482,1.03314,0.77038,0.61353,0.64521,0.54451,0.65204,0.87697,1.09844,0.00055188,0.00055188,0.00055188
64,655.538,0.50637,0.56131,1.02996,0.78237,0.58301,0.63566,0.53788,0.66019,0.92455,1.09539,0.000537733,0.000537733,0.000537733
65,665.709,0.53829,0.59779,1.05825,0.76148,0.56635,0.60603,0.5193,0.68108,0.92137,1.10776,0.000523586,0.000523586,0.000523586
66,675.499,0.47762,0.50429,1.0193,0.85602,0.56552,0.61108,0.52147,0.67105,0.96074,1.11521,0.000509438,0.000509438,0.000509438
67,685.443,0.4835,0.53856,1.0379,0.8664,0.57826,0.6497,0.54952,0.69323,0.88509,1.14965,0.000495291,0.000495291,0.000495291
68,696.02,0.48808,0.52084,1.03873,0.84262,0.52487,0.61822,0.52035,0.67763,1.01139,1.12692,0.000481144,0.000481144,0.000481144
69,706.244,0.46591,0.50788,1.02089,0.83123,0.53249,0.59703,0.52509,0.63715,1.03735,1.08554,0.000466997,0.000466997,0.000466997
70,715.778,0.48204,0.51913,1.02834,0.79282,0.56325,0.60823,0.52756,0.64733,0.88009,1.14091,0.00045285,0.00045285,0.00045285
71,725.769,0.46813,0.48543,1.02863,0.8241,0.6276,0.66184,0.55645,0.67809,0.88936,1.15825,0.000438703,0.000438703,0.000438703
